Case_ID,Activity,Order,Machine_Elec,kW,duration,Machine_Steam,Machine_LPG,Machine_Diesel,Machine_Gasoline,Machine_Kerosene,Heat,Waste,Worker,carbon_reduction_device,kWh
1.0,Base Mixer (MachineA.1),0.0,MachineA.1,20,9.999999999,,,,,Boiler.1,9,5,2,253,
1.0,Weighing (MachineB.1),1.0,MachineB.1,25,4.999999999,,,Lift.1,,,8,8,4,217,
1.0,Inter Mixer (MachineC.1),2.0,MachineC.1,25,15.0,,Boiler.2,,,,8,5,3,279,
1.0,Dumping & Mixing Mil (MachineD.1),3.0,MachineD.1,25,10.0,,Boiler.3,,,,6,8,1,204,
1.0,Compound (MachineE.2),4.0,MachineE.2,46,20.0,,Dryer.1,,,,7,7,4,258,40.0
1.0,Loading (MachineF.1),5.0,MachineF.1,35,9.999999999,,,Lift.2,,,9,8,3,231,
1.0,Extruder (MachineG.1),6.0,MachineG.1,15,20.0,,,,,,5,5,4,201,
1.0,Coating (MachineH.1),7.0,MachineH.1,25,40.00000001,,Dryer.2,,,,5,6,3,265,
1.0,Cooling zone (MachineI.1),8.0,MachineI.1,50,45.0,,,,,,6,8,3,235,40.0
1.0,Cutting (MachineJ.3),9.0,MachineJ.3,15,25.0,Cleaner.3,,,,,6,6,1,282,
2.0,Base Mixer (MachineA.1),0.0,MachineA.1,20,9.999999999,,,,,Boiler.1,9,5,2,253,
2.0,Weighing (MachineB.1),1.0,MachineB.1,25,4.999999999,,,Lift.1,,,8,8,4,217,
2.0,Inter Mixer (MachineC.1),2.0,MachineC.1,25,15.0,,Boiler.2,,,,8,5,3,279,
2.0,Dumping & Mixing Mil (MachineD.1),3.0,MachineD.1,25,10.0,,Boiler.3,,,,6,8,1,204,
2.0,Compound (MachineE.1),4.0,MachineE.1,40,30.0,,Dryer.1,,,,8,5,4,242,
2.0,Loading (MachineF.1),5.0,MachineF.1,35,9.999999999,,,Lift.2,,,9,8,3,231,
2.0,Extruder (MachineG.1),6.0,MachineG.1,15,20.0,,,,,,5,5,4,201,
2.0,Coating (MachineH.1),7.0,MachineH.1,25,40.00000001,,Dryer.2,,,,5,6,3,265,
2.0,Cooling zone (MachineI.1),8.0,MachineI.1,50,45.0,,,,,,6,8,3,235,40.0
